City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Teguise,ES,61.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
278,Shenjiamen,CN,61.34,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
282,Nishihara,JP,69.85,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
289,Macia,MZ,71.35,clear sky,-25.0269,33.0989,Hotel Taskin Macia
291,Isabela,PH,78.06,scattered clouds,6.7085,121.9711,Isawad Resort
293,Popondetta,PG,77.58,overcast clouds,-8.7537,148.2534,Timos Transit House
297,Yeppoon,AU,74.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
299,Geraldton,AU,68.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
300,Singaparna,ID,69.84,scattered clouds,-7.3515,108.111,Wisma Dewi Hotel
301,Luocheng,CN,52.84,overcast clouds,29.3848,104.0286,Luocheng Hotel
303,Camacha,PT,60.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
305,Khash,IR,51.84,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
306,Marsa Matruh,EG,64.6,clear sky,31.3525,27.2453,Beau Site
307,Cayenne,GF,78.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
316,Bafq,IR,58.64,overcast clouds,31.6128,55.4107,Alamdar Hotel
319,Codrington,AU,54.66,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
323,Nelson Bay,AU,60.85,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
324,Victor Harbor,AU,55.49,clear sky,-35.5667,138.6167,McCracken Country Club
329,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
331,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
334,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
335,Harper,LR,79.3,broken clouds,4.375,-7.7169,Screensaver
336,Karachi,PK,67.82,haze,24.9056,67.0822,Sadaat
337,Namibe,AO,69.42,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
338,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
342,Patti,IN,57.15,clear sky,31.2808,74.8572,harike air travel
347,Port Blair,IN,79.56,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
349,Ulcinj,ME,59.22,overcast clouds,41.9294,19.2244,Hotel Mediteran
350,Waipawa,NZ,63.23,broken clouds,-41.4122,175.5153,Tora Coastal Walk
351,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
353,Bilma,NE,75.85,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
355,Lata,PT,54.01,overcast clouds,40.1629,-8.3327,Casa Maquia
357,Balkanabat,TM,54.25,clear sky,39.5108,54.3671,Nebitchi Hotel
359,Kolokani,ML,79.77,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
362,Redwater,US,66.49,clear sky,33.3582,-94.2544,Witterstaetter Properties
366,Ucluelet,CA,52.11,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
371,Junin,AR,60.87,light rain,-34.5838,-60.9433,Hotel Central
376,Prado,BR,75.31,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
378,Nouadhibou,MR,69.78,overcast clouds,20.931,-17.0347,El Medina
380,Baturaja,ID,72.09,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
383,Mocuba,MZ,67.42,clear sky,-16.8392,36.9856,Phama Lodge
387,Buarcos,PT,55.74,broken clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
388,Cabo San Lucas,MX,79.9,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
390,Warrensburg,US,51.89,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
391,Siwan,IN,65.37,scattered clouds,26.2167,84.3667,Hotel Manish
395,Port Augusta,AU,57.34,clear sky,-32.5,137.7667,Majestic Oasis Apartments
396,Port Hardy,CA,50.18,light rain,50.6996,-127.4199,Airport Inn
398,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
399,Mitha Tiwana,PK,61.48,clear sky,32.2486,72.1108,Canal Rest House
400,Asfi,MA,57.34,clear sky,32.2994,-9.2372,Hôtel Abda
401,Kendari,ID,74.23,overcast clouds,-3.945,122.4989,Hotel Wixel
402,Cukai,MY,75.34,heavy intensity rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
403,Coffs Harbour,AU,66.47,overcast clouds,-30.3,153.1333,Aquajet Motel
406,Kirando,TZ,75.4,scattered clouds,-7.4167,30.6,Lakeshore Lodge
407,Pacifica,US,66.2,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
409,Campbell River,CA,50.72,mist,50.0163,-125.2446,Ramada by Wyndham Campbell River
410,Yucca Valley,US,70.97,clear sky,34.1142,-116.4322,Americas Best Value Inn & Suites Joshua Tree National Park
412,Jacareacanga,BR,76.37,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
