City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Airai,TL,2021-11-24 18:31:45,-8.9266,125.4092,62.13,93,100,0.69
161,Kargasok,RU,2021-11-24 18:31:45,59.0556,80.8572,14.05,92,97,9.31
162,Port Hawkesbury,CA,2021-11-24 18:31:46,45.6169,-61.3485,42.39,94,90,11.01
163,Constitucion,CL,2021-11-24 18:31:46,-35.3333,-72.4167,62.02,71,24,12.55
164,Zhangjiakou,CN,2021-11-24 18:31:47,40.81,114.8794,27.39,60,0,4.72
165,Hasaki,JP,2021-11-24 18:31:47,35.7333,140.8333,37.69,41,0,5.59
166,Saint-Francois,FR,2021-11-24 18:31:48,46.4154,3.9054,38.64,86,100,6.91
167,Deep River,CA,2021-11-24 18:31:48,46.1001,-77.4995,43.95,48,80,7.85
168,Labuhan,ID,2021-11-24 18:31:49,-6.8844,112.2051,79.52,82,100,7.31
169,Padang,ID,2021-11-24 18:31:49,-0.9492,100.3543,75.25,71,100,3.04
170,Aguimes,ES,2021-11-24 18:31:50,27.9054,-15.4461,67.66,78,20,8.05
171,Port Hardy,CA,2021-11-24 18:30:07,50.6996,-127.4199,44.6,87,90,18.41
172,Yulara,AU,2021-11-24 18:31:50,-25.2406,130.9889,60.64,72,0,9.22
173,Camopi,GF,2021-11-24 18:31:51,3.1655,-52.3158,83.28,68,97,1.59
174,Bethel,US,2021-11-24 18:31:51,41.3712,-73.414,43.95,42,1,3.0
175,Ahipara,NZ,2021-11-24 18:31:51,-35.1667,173.1667,60.03,87,82,2.55
176,Haines Junction,CA,2021-11-24 18:31:52,60.7522,-137.5108,-2.25,84,100,0.0
177,Cidreira,BR,2021-11-24 18:31:52,-30.1811,-50.2056,70.38,61,0,15.37
178,Syamzha,RU,2021-11-24 18:31:53,60.0158,41.0614,25.0,95,100,9.15
179,Benjamin Aceval,PY,2021-11-24 18:31:53,-24.9667,-57.5667,87.94,33,63,5.21
180,Inirida,CO,2021-11-24 18:31:54,3.8653,-67.9239,81.68,87,62,3.69
181,Hualmay,PE,2021-11-24 18:31:54,-11.0964,-77.6139,70.88,72,78,10.45
182,Ponta Do Sol,PT,2021-11-24 18:31:54,32.6667,-17.1,67.71,66,71,9.55
183,Khatanga,RU,2021-11-24 18:31:55,71.9667,102.5,-11.25,95,27,4.65
184,Ayan,RU,2021-11-24 18:31:56,56.45,138.1667,27.46,94,100,21.34
185,Hirara,JP,2021-11-24 18:31:56,24.8,125.2833,70.59,65,86,12.66
186,Bredasdorp,ZA,2021-11-24 18:32:57,-34.5322,20.0403,62.28,69,0,15.66
