City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Kiama,AU,-34.6833,150.8667,56.68,71,67,4.97,broken clouds
170,Haines Junction,CA,60.7522,-137.5108,-3.95,97,100,1.23,overcast clouds
171,Rolla,US,37.9514,-91.7713,51.94,32,1,8.05,clear sky
172,San Cristobal,VE,7.7669,-72.225,78.98,58,57,2.3,broken clouds
173,Cherskiy,RU,68.75,161.3,-11.42,99,100,6.53,overcast clouds
174,Buraydah,SA,26.326,43.975,63.05,38,0,6.08,clear sky
175,Port-Gentil,GA,-0.7193,8.7815,80.56,83,20,8.05,light rain
176,Saldanha,ZA,-33.0117,17.9442,64.45,85,26,5.35,scattered clouds
177,Tautira,PF,-17.7333,-149.15,84.22,80,90,18.66,light rain
178,Kavieng,PG,-2.5744,150.7967,81.84,78,64,8.41,moderate rain
179,Coahuayana,MX,18.7333,-103.6833,90.88,41,0,7.4,clear sky
180,Sanford,US,28.8006,-81.2731,70.09,32,20,5.75,few clouds
181,Jamkhed,IN,18.7362,75.3121,65.98,51,100,10.49,overcast clouds
182,Acapulco,MX,16.8634,-99.8901,85.82,70,40,4.61,scattered clouds
183,Port Macquarie,AU,-31.4333,152.9167,62.56,80,100,6.22,overcast clouds
184,Souillac,MU,-20.5167,57.5167,73.78,83,20,3.44,few clouds
185,Mareeba,AU,-17.0,145.4333,72.32,85,33,3.15,scattered clouds
186,Adrar,MR,20.5022,-10.0711,62.19,32,0,11.25,clear sky
187,Russell,US,32.3502,-85.1999,55.11,47,90,3.44,light intensity drizzle
188,Sechura,PE,-5.5569,-80.8222,78.1,57,83,16.69,broken clouds
189,Yatou,CN,37.15,122.3833,49.87,86,99,3.42,overcast clouds
190,Palmer,US,42.1584,-72.3287,33.35,64,90,3.44,overcast clouds
191,Joshimath,IN,30.5667,79.5667,46.18,23,0,7.54,clear sky
192,Kaitangata,NZ,-46.2817,169.8464,58.39,50,100,6.93,overcast clouds
193,Kahului,US,20.8947,-156.47,80.62,61,20,18.41,few clouds
194,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,20,3.44,few clouds
195,Ketchikan,US,55.3422,-131.6461,37.87,87,75,5.75,broken clouds
196,Manavalakurichi,IN,8.1333,77.3,75.29,88,100,6.62,light rain
197,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,20,5.75,few clouds
198,Saint-Augustin,CA,51.226,-58.6502,34.32,84,99,23.71,overcast clouds
199,Ak-Dovurak,RU,51.1833,90.6,8.67,84,12,1.5,few clouds
200,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,14.97,light snow
201,Gamba,GA,-2.65,10.0,77.09,89,57,7.2,moderate rain
202,Milkovo,RU,54.7167,158.6167,-4.13,89,100,0.29,overcast clouds
203,Belmonte,BR,-15.8631,-38.8828,80.6,84,33,14.47,scattered clouds
204,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,67,95,4.9,overcast clouds
205,Ostersund,SE,63.1792,14.6357,18.05,93,99,6.91,overcast clouds
206,Inndyr,NO,67.0338,14.0276,26.64,76,100,8.39,light snow
207,Pskov,RU,57.8136,28.3496,26.51,100,90,4.47,overcast clouds
208,Mahebourg,MU,-20.4081,57.7,73.69,83,20,3.44,few clouds
209,Tazovskiy,RU,67.4667,78.7,-17.07,100,91,5.21,overcast clouds
210,East London,ZA,-33.0153,27.9116,69.12,74,26,5.84,scattered clouds
211,Porto Velho,BR,-8.7619,-63.9039,77.05,94,40,0.0,scattered clouds
212,Kande,TG,9.9578,1.0447,80.53,18,37,4.41,scattered clouds
213,Moindou,NC,-21.6924,165.677,80.55,69,71,2.46,broken clouds
214,Monrovia,LR,6.3005,-10.7969,78.57,76,11,7.72,few clouds
215,Santa Cruz De La Palma,ES,28.6835,-17.7642,64.54,77,75,19.57,light intensity drizzle
216,Batemans Bay,AU,-35.7167,150.1833,59.14,67,74,2.55,broken clouds
217,Sarangani,PH,5.4033,125.4636,82.76,73,98,14.79,overcast clouds
218,Urengoy,RU,65.9667,78.3667,-23.12,100,82,3.67,broken clouds
219,Barabinsk,RU,55.3571,78.357,11.07,96,96,7.54,overcast clouds
220,Safford,US,32.834,-109.7076,67.12,24,1,5.75,clear sky
221,Morant Bay,JM,17.8815,-76.4093,85.62,68,37,10.85,scattered clouds
222,Calama,CL,-22.4667,-68.9333,75.69,11,3,26.46,clear sky
223,Puerto Rondon,CO,6.2805,-71.1,87.64,57,76,7.2,broken clouds
224,Thompson,CA,55.7435,-97.8558,5.16,85,40,6.91,scattered clouds
225,Izberbash,RU,42.5696,47.8645,46.45,83,54,6.78,broken clouds
226,Turka,UA,49.1541,23.0297,42.33,94,100,7.23,light rain
227,Tomatlan,MX,19.9333,-105.25,85.73,50,82,8.19,broken clouds
228,Kipini,KE,-2.5257,40.5262,82.69,84,92,6.91,light rain
229,Atar,MR,20.5169,-13.0499,65.23,35,3,11.27,clear sky
230,Faanui,PF,-16.4833,-151.75,81.41,74,98,11.27,overcast clouds
231,General Roca,AR,-39.0333,-67.5833,84.6,12,8,11.56,clear sky
232,Katsuura,JP,35.1333,140.3,44.71,56,5,2.06,clear sky
233,Jesup,US,31.6074,-81.8854,60.91,44,90,0.0,overcast clouds
